,time,Press031.Ana_hava_debi_act,Press031.Ana_hava_sic_act,Press031.Deng_hava_bas_act,Press031.Deng_hava_debi_act,cycle,id
410,2022-06-28 20:00:00+00:00,20.45057746679497,28.97536092396541,3.2449828546679584,6.637353221366701,410.0,1
411,2022-06-28 20:30:00+00:00,8.04438754718876,29.427008032128292,3.0078520451807016,2.091626455823292,411.0,1
412,2022-06-28 21:00:00+00:00,5.993622448979596,29.528367346938886,2.977101333673474,2.0075000000000003,412.0,1
413,2022-06-28 21:30:00+00:00,5.999768976897696,29.472167216721655,2.974230635863584,1.825610539053906,413.0,1
414,2022-06-28 22:00:00+00:00,13.924757274002163,29.0667745415316,3.0943328683926645,9.732588962243799,414.0,1
415,2022-06-28 22:30:00+00:00,21.559623716077525,28.54515393386553,3.241671998859745,5.761482322690994,415.0,1
416,2022-06-28 23:00:00+00:00,21.398162385683754,28.386538461538443,3.235884617521366,4.937542735042741,416.0,1
417,2022-06-28 23:30:00+00:00,20.609524792355344,28.34328512396708,3.242388172520664,6.0582334638429876,417.0,1
418,2022-06-29 00:00:00+00:00,19.358891328210753,28.34006586169038,3.2396167804610285,5.513413798024148,418.0,1
419,2022-06-29 00:30:00+00:00,19.398396434298427,28.32850779510027,3.2424682483296214,6.357728282850777,419.0,1
420,2022-06-29 01:00:00+00:00,20.79501031921486,28.330578512396695,3.242807011363633,6.071012363636358,420.0,1
421,2022-06-29 01:30:00+00:00,21.360914567839238,28.435678391959687,3.2407378512562808,5.843396984924621,421.0,1
422,2022-06-29 02:00:00+00:00,20.862029697029705,28.677326732673475,3.242473992079207,5.365574257425747,422.0,1
423,2022-06-29 02:30:00+00:00,19.858489997,28.854400000000254,3.243528639999993,7.002139994000001,423.0,1
424,2022-06-29 03:00:00+00:00,13.701964281746031,29.131547619047435,3.1469335595238226,4.413888886904761,424.0,1
425,2022-06-29 03:30:00+00:00,19.61229988855117,29.022593718338175,3.2459736960486345,7.201084089159056,425.0,1
426,2022-06-29 04:00:00+00:00,20.104954497472182,29.043276036400318,3.2421413923154736,4.865642061678463,426.0,1
427,2022-06-29 04:30:00+00:00,21.08309277835052,29.079999999999856,3.239678424742275,7.066804123711343,427.0,1
428,2022-06-29 05:00:00+00:00,19.09946390927835,29.197525773196006,3.245113477319586,5.733309255670112,428.0,1
429,2022-06-29 05:30:00+00:00,19.767108423694786,29.172991967871482,3.245186692771086,6.110040140562253,429.0,1
430,2022-06-29 06:00:00+00:00,17.19842885177869,29.27460474308304,3.192118086956525,5.294703524703559,430.0,1
431,2022-06-29 06:30:00+00:00,20.13309760159367,29.171015936254985,3.240093012948212,6.549980073705182,431.0,1
432,2022-06-29 07:00:00+00:00,16.839316826732666,29.255742574257546,3.1975850425742567,5.313445522772288,432.0,1
433,2022-06-29 07:30:00+00:00,18.445490936129623,29.233841754051436,3.2045803946615834,5.598055290753088,433.0,1
434,2022-06-29 08:00:00+00:00,19.88834600475281,29.128517110266014,3.24496238878327,5.420323193916355,434.0,1
435,2022-06-29 08:30:00+00:00,19.516878044877984,29.098829268292576,3.240240361951213,6.160878048780492,435.0,1
436,2022-06-29 09:00:00+00:00,19.708966893681065,29.058274824473276,3.2446311885656987,5.4675426278836525,436.0,1
437,2022-06-29 09:30:00+00:00,8.849224727183511,29.509813542689127,3.0181815250245285,2.9722374877330684,437.0,1
438,2022-06-29 10:00:00+00:00,5.995707407122243,29.674398460057947,2.9774041154956596,1.882579384023097,438.0,1
439,2022-06-29 10:30:00+00:00,6.225309474854942,29.658897485493473,2.9728758094777503,1.8190522243713743,439.0,1
440,2022-06-29 11:00:00+00:00,6.936844758064516,29.559778225806294,2.9796385937499905,3.803366935483869,440.0,1
441,2022-06-29 11:30:00+00:00,6.2132153392330345,29.557522123893282,2.9737058721730527,1.882064896755163,441.0,1
442,2022-06-29 12:00:00+00:00,7.07726082578047,29.4514602215509,2.978620868076531,4.049637457200401,442.0,1
443,2022-06-29 12:30:00+00:00,6.2800656044986,29.43786316776047,2.9755698912839725,1.7544892221180877,443.0,1
444,2022-06-29 13:00:00+00:00,6.875521415270022,29.340968342644587,2.9771604292364913,3.387858472998139,444.0,1
445,2022-06-29 13:30:00+00:00,15.405136916902714,28.765344664778134,3.1355835779036934,7.7086118961284305,445.0,1
446,2022-06-29 14:00:00+00:00,12.932268039362711,28.66954076850999,3.0914485801311966,4.192886596063729,446.0,1
447,2022-06-29 14:30:00+00:00,18.931849694605035,28.202312138728317,3.2174744248554927,6.276281310211947,447.0,1
448,2022-06-29 15:00:00+00:00,16.496912174693115,28.149008498583576,3.1508971888574147,5.220283283286118,448.0,1
449,2022-06-29 15:30:00+00:00,20.18350696744188,27.903534883721157,3.237515826046518,6.052000000000007,449.0,1
450,2022-06-29 16:00:00+00:00,21.19303112545785,27.921245421245562,3.2370695256410285,6.353791206959706,450.0,1
451,2022-06-29 16:30:00+00:00,20.23477724549762,28.070142180094688,3.240873392417066,5.51491942938388,451.0,1
452,2022-06-29 17:00:00+00:00,20.170536538390422,28.194819611470958,3.243283964847358,5.742257160037009,452.0,1
453,2022-06-29 17:30:00+00:00,19.306874990778702,28.333196721311634,3.2415997500000087,5.976526635245894,453.0,1
454,2022-06-29 18:00:00+00:00,20.42275895816735,28.408565737051923,3.237149810756965,6.2996713107569775,454.0,1
455,2022-06-29 18:30:00+00:00,19.856280907022757,28.47012858555884,3.2419274075173083,6.25573689416419,455.0,1
456,2022-06-29 19:00:00+00:00,19.417100185934466,28.517822736030705,3.2377133892100236,5.062976878612719,456.0,1
457,2022-06-29 19:30:00+00:00,18.47081237427468,28.54410058027075,3.2085283355899312,6.359526109284333,457.0,1
458,2022-06-29 20:00:00+00:00,11.538153239685675,28.94273084479352,3.0730583968565868,4.498880157170934,458.0,1
459,2022-06-29 20:30:00+00:00,19.418924922150122,28.532808155699602,3.2399764893419833,5.8521779147358695,459.0,1
460,2022-06-29 21:00:00+00:00,19.63277585172416,28.533275862068862,3.2363948189655223,6.417293101724136,460.0,1
461,2022-06-29 21:30:00+00:00,19.662158458105655,28.569489981784894,3.239044927140251,5.55163023315118,461.0,1
462,2022-06-29 22:00:00+00:00,19.504865106976766,28.683348837209472,3.240460804651162,6.3562883720930285,462.0,1
463,2022-06-29 22:30:00+00:00,19.568635060663503,28.76758293838858,3.237233894786736,5.381421800947864,463.0,1
464,2022-06-29 23:00:00+00:00,18.84868896473778,28.876672694394404,3.246871789330932,6.49254972875226,464.0,1
465,2022-06-29 23:30:00+00:00,19.587128058380422,28.94717514124307,3.242784189265538,6.107325781544252,465.0,1
466,2022-06-30 00:00:00+00:00,19.008587783396877,28.9684160305344,3.246054289122131,4.953129768129776,466.0,1
467,2022-06-30 00:30:00+00:00,19.598174225208588,28.91816496756289,3.245004921223356,6.428174211306774,467.0,1
468,2022-06-30 01:00:00+00:00,19.680631192064915,28.865464382326493,3.2373710667267837,5.434292137060404,468.0,1
469,2022-06-30 01:30:00+00:00,19.93901977428065,28.815467625899245,3.239939935251797,5.70247302158273,469.0,1
470,2022-06-30 02:00:00+00:00,20.2704029267399,28.793956043955916,3.24513601007326,5.609212424908423,470.0,1
471,2022-06-30 02:30:00+00:00,18.343115202765002,28.91557603686649,3.204886119815668,5.653023039631332,471.0,1
472,2022-06-30 03:00:00+00:00,20.060412552466392,28.893094170403813,3.2433403632287003,6.217533614349776,472.0,1
473,2022-06-30 03:30:00+00:00,12.821412316587697,29.194407582938137,3.096671967772521,2.5375639791469204,473.0,1
474,2022-06-30 04:00:00+00:00,6.968811969130032,29.52937324602391,2.9783288896164475,3.8945463049579065,474.0,1
