,time,Press030.AM_rpm_act,Press030.AM_rpm_act_1,Press030.Ana_hava_debi_act,Press030.Ana_hava_debi_act_1,Press030.Ana_hava_sic_act,Press030.Ana_hava_sic_act_1,Press030.Bit_control,Press030.Bit_control_1,Press030.Deng_hava_bas_act,Press030.Deng_hava_bas_act_1,Press030.Deng_hava_debi_act,Press030.Deng_hava_debi_act_1,Press030.Deng_hava_sic_act,Press030.Deng_hava_sic_act_1,Press030.Frn_grup_sic_act,Press030.Frn_grup_sic_act_1,Press030.Hid_emn_bas_act,Press030.Hid_emn_bas_act_1,Press030.Kalip_No,Press030.Kalip_No_1,Press030.Kavr_hava_debi_act,Press030.Kavr_hava_debi_act_1,Press030.Kavr_hava_sic_act,Press030.Kavr_hava_sic_act_1,Press030.Koc_Ton_act,Press030.Koc_Ton_act_1,Press030.Reg_poz_act,Press030.Reg_poz_act_1,Press030.Rob_ctr_sic_act,Press030.Rob_ctr_sic_act_1,Press030.Robot_hava_debi_act,Press030.Robot_hava_debi_act_1,Press030.Robot_hava_sic_act,Press030.Robot_hava_sic_act_1,Press030.Yaglama_bas_act,Press030.Yaglama_bas_act_1,Press030.Yaglama_sic_act,Press030.Yaglama_sic_act_1,Press030.Yedek1,Press030.Yedek1_1,Press030.Yedek2,Press030.Yedek2_1,RUL,label1,time_norm,id
106,107,1.0,1.0,0.49133618284783126,0.49133618284783126,0.21201649939886824,0.21201649939886824,0.8720446747493344,0.8720446747493344,0.6434510122078332,0.6434510122078332,0.5941174509425514,0.5941174509425514,0.3328526239950991,0.3328526239950991,0.154761904761898,0.154761904761898,0.9636575412585324,0.9636575412585324,1.0,1.0,0.40363864350618556,0.40363864350618556,0.0973895904601525,0.0973895904601525,0.0,0.0,0.9967745906849679,0.9967745906849679,0.10927245935787422,0.10927245935787422,0.3428359255748224,0.3428359255748224,0.09798338349423119,0.09798338349423119,0.9748586114156721,0.9748586114156721,0.3011351618139777,0.3011351618139777,1.0,1.0,1.0,1.0,374,0,0.22083333333333333,1
107,108,1.0,1.0,0.4647426537101728,0.4647426537101728,0.263481088002675,0.263481088002675,0.8712692534581112,0.8712692534581112,0.6437367066901252,0.6437367066901252,0.4447246863352079,0.4447246863352079,0.3380913857759613,0.3380913857759613,0.14943637220856498,0.14943637220856498,0.9616019926589825,0.9616019926589825,1.0,1.0,0.3971915631783228,0.3971915631783228,0.1034881632376905,0.1034881632376905,0.0,0.0,0.9967745906849714,0.9967745906849714,0.1223645866333678,0.1223645866333678,0.32072724792051266,0.32072724792051266,0.1021769301924973,0.1021769301924973,0.972120927843986,0.972120927843986,0.2728657481130483,0.2728657481130483,1.0,1.0,1.0,1.0,373,0,0.22291666666666668,1
108,109,1.0,1.0,0.47554087090081304,0.47554087090081304,0.30291709823319923,0.30291709823319923,0.8680780360608575,0.8680780360608575,0.6371434400130007,0.6371434400130007,0.7154143395733152,0.7154143395733152,0.3246906136307879,0.3246906136307879,0.1428571428571166,0.1428571428571166,0.9565281699225103,0.9565281699225103,1.0,1.0,0.3629263743386584,0.3629263743386584,0.12415696662408493,0.12415696662408493,0.0,0.0,0.9967745906849697,0.9967745906849697,0.13578690804964744,0.13578690804964744,0.32788348419864877,0.32788348419864877,0.1187067476718342,0.1187067476718342,0.9776542943634619,0.9776542943634619,0.23076923076889955,0.23076923076889955,1.0,1.0,1.0,1.0,372,0,0.225,1
109,110,1.0,1.0,0.46512955634859593,0.46512955634859593,0.3300172143086728,0.3300172143086728,0.8752647368100508,0.8752647368100508,0.6428375703831333,0.6428375703831333,0.511268297119379,0.511268297119379,0.38471765225559507,0.38471765225559507,0.14285714285711304,0.14285714285711304,0.9568207388468506,0.9568207388468506,1.0,1.0,0.36641769260236534,0.36641769260236534,0.1441098100184961,0.1441098100184961,0.0,0.0,0.9967745906849723,0.9967745906849723,0.1494451651173696,0.1494451651173696,0.31206515949147373,0.31206515949147373,0.13342681350260133,0.13342681350260133,0.9775577050658439,0.9775577050658439,0.25468706920334583,0.25468706920334583,1.0,1.0,1.0,1.0,371,0,0.22708333333333333,1
110,111,1.0,1.0,0.5208588819006492,0.5208588819006492,0.28523849924943967,0.28523849924943967,0.871729070329291,0.871729070329291,0.6436388645346791,0.6436388645346791,0.6218042479713202,0.6218042479713202,0.3439625365808534,0.3439625365808534,0.14285714285712103,0.14285714285712103,0.9611376060166519,0.9611376060166519,1.0,1.0,0.3929932425696509,0.3929932425696509,0.13802271179524084,0.13802271179524084,0.0,0.0,0.996774590684967,0.996774590684967,0.16212881469536278,0.16212881469536278,0.32245750482373975,0.32245750482373975,0.13315219293137748,0.13315219293137748,0.9736021832523383,0.9736021832523383,0.30769230769283595,0.30769230769283595,1.0,1.0,1.0,1.0,370,0,0.22916666666666666,1
111,112,1.0,1.0,0.5371498332372702,0.5371498332372702,0.21683992155682397,0.21683992155682397,0.871620357910369,0.871620357910369,0.6346116320028385,0.6346116320028385,0.6587480876507348,0.6587480876507348,0.3498740549644288,0.3498740549644288,0.14285714285711038,0.14285714285711038,0.9625427666888864,0.9625427666888864,1.0,1.0,0.38069554339897566,0.38069554339897566,0.14109106149863404,0.14109106149863404,0.0,0.0,0.9967745906849723,0.9967745906849723,0.16668851166538268,0.16668851166538268,0.33810443408285057,0.33810443408285057,0.12437355099044556,0.12437355099044556,0.9727791554514988,0.9727791554514988,0.30769230769285727,0.30769230769285727,1.0,1.0,1.0,1.0,369,0,0.23125,1
112,113,1.0,1.0,0.5056782591734328,0.5056782591734328,0.1727742813040587,0.1727742813040587,0.8721700554670311,0.8721700554670311,0.6377588625581114,0.6377588625581114,0.5142301961671054,0.5142301961671054,0.3717817498444833,0.3717817498444833,0.1428571428571166,0.1428571428571166,0.9593407117512645,0.9593407117512645,1.0,1.0,0.38874582045703615,0.38874582045703615,0.13092781771920148,0.13092781771920148,0.0,0.0,0.9967745906849697,0.9967745906849697,0.18050337710116615,0.18050337710116615,0.31835826730797107,0.31835826730797107,0.13183480174917683,0.13183480174917683,0.9724606000228375,0.9724606000228375,0.24905765740574282,0.24905765740574282,1.0,1.0,1.0,1.0,368,0,0.23333333333333334,1
113,114,1.0,1.0,0.5069183940710451,0.5069183940710451,0.20184117473467023,0.20184117473467023,0.8705387704198282,0.8705387704198282,0.6400073354343028,0.6400073354343028,0.6478496915238987,0.6478496915238987,0.34258211249354176,0.34258211249354176,0.14285714285711126,0.14285714285711126,0.9565809056730075,0.9565809056730075,1.0,1.0,0.3769072241569428,0.3769072241569428,0.13091933571619485,0.13091933571619485,0.0,0.0,0.9967745906849723,0.9967745906849723,0.18050337710116615,0.18050337710116615,0.3276676892978547,0.3276676892978547,0.14037765527404655,0.14037765527404655,0.9770495598998208,0.9770495598998208,0.27437268613792654,0.27437268613792654,1.0,1.0,1.0,1.0,367,0,0.23541666666666666,1
114,115,1.0,1.0,0.4800680195998434,0.4800680195998434,0.28337377437157407,0.28337377437157407,0.8685307790627985,0.8685307790627985,0.6383636234992855,0.6383636234992855,0.573550217017755,0.573550217017755,0.3488776100532318,0.3488776100532318,0.14285714285711393,0.14285714285711393,0.9618280643078614,0.9618280643078614,1.0,1.0,0.38900915064705227,0.38900915064705227,0.13244360424018264,0.13244360424018264,0.0,0.0,0.9967745906849714,0.9967745906849714,0.18050337710116615,0.18050337710116615,0.333437461221553,0.333437461221553,0.14122194231574703,0.14122194231574703,0.9747672240217797,0.9747672240217797,0.3076923076928537,0.3076923076928537,1.0,1.0,1.0,1.0,366,0,0.23750000000000002,1
115,116,1.0,1.0,0.4731457684005868,0.4731457684005868,0.3263797203221266,0.3263797203221266,0.8680052359280341,0.8680052359280341,0.6306534625151001,0.6306534625151001,0.6662570132578125,0.6662570132578125,0.3540318666141964,0.3540318666141964,0.14285714285712459,0.14285714285712459,0.961280166184451,0.961280166184451,1.0,1.0,0.3763371963816595,0.3763371963816595,0.133637976023107,0.133637976023107,0.0,0.0,0.9967745906849652,0.9967745906849652,0.18050337710116615,0.18050337710116615,0.3327129749332768,0.3327129749332768,0.13350201058707878,0.13350201058707878,0.9741584867158837,0.9741584867158837,0.3076923076928324,0.3076923076928324,1.0,1.0,1.0,1.0,365,0,0.23958333333333334,1
