,time,Press030.Ana_hava_debi_act_1
256,2022-05-30 10:34:17+00:00,-666.0
257,2022-05-30 10:34:18+00:00,11.58
258,2022-05-30 10:34:19+00:00,11.58
259,2022-05-30 10:34:20+00:00,-666.0
260,2022-05-30 10:34:21+00:00,9.52
261,2022-05-30 10:34:22+00:00,9.52
262,2022-05-30 10:34:23+00:00,-666.0
263,2022-05-30 10:34:24+00:00,9.52
264,2022-05-30 10:34:25+00:00,-666.0
265,2022-05-30 10:34:26+00:00,8.32
266,2022-05-30 10:34:27+00:00,8.32
267,2022-05-30 10:34:28+00:00,-666.0
268,2022-05-30 10:34:29+00:00,7.83
269,2022-05-30 10:34:30+00:00,7.83
270,2022-05-30 10:34:31+00:00,-666.0
271,2022-05-30 10:34:32+00:00,7.56
272,2022-05-30 10:34:33+00:00,7.56
273,2022-05-30 10:34:34+00:00,-666.0
274,2022-05-30 10:34:35+00:00,7.56
275,2022-05-30 10:34:36+00:00,-666.0
276,2022-05-30 10:34:37+00:00,7.33
277,2022-05-30 10:34:38+00:00,7.33
278,2022-05-30 10:34:39+00:00,-666.0
279,2022-05-30 10:34:40+00:00,7.25
280,2022-05-30 10:34:41+00:00,7.25
281,2022-05-30 10:34:42+00:00,-666.0
282,2022-05-30 10:34:43+00:00,7.22
283,2022-05-30 10:34:44+00:00,7.22
284,2022-05-30 10:34:45+00:00,-666.0
285,2022-05-30 10:34:46+00:00,7.22
286,2022-05-30 10:34:47+00:00,7.19
287,2022-05-30 10:34:48+00:00,-666.0
288,2022-05-30 10:34:49+00:00,7.19
289,2022-05-30 10:34:50+00:00,-666.0
290,2022-05-30 10:34:51+00:00,7.19
291,2022-05-30 10:34:52+00:00,7.19
292,2022-05-30 10:34:53+00:00,-666.0
293,2022-05-30 10:34:54+00:00,7.19
294,2022-05-30 10:34:55+00:00,7.22
295,2022-05-30 10:34:56+00:00,-666.0
296,2022-05-30 10:34:57+00:00,7.22
297,2022-05-30 10:34:58+00:00,7.25
298,2022-05-30 10:34:59+00:00,-666.0
299,2022-05-30 10:35:00+00:00,7.25
300,2022-05-30 10:35:01+00:00,7.28
301,2022-05-30 10:35:02+00:00,-666.0
302,2022-05-30 10:35:03+00:00,7.28
303,2022-05-30 10:35:04+00:00,-666.0
304,2022-05-30 10:35:05+00:00,7.35
305,2022-05-30 10:35:06+00:00,-666.0
306,2022-05-30 10:35:07+00:00,7.35
307,2022-05-30 10:35:08+00:00,-666.0
308,2022-05-30 10:35:09+00:00,7.35
309,2022-05-30 10:35:10+00:00,-666.0
310,2022-05-30 10:35:11+00:00,7.43
311,2022-05-30 10:35:12+00:00,7.43
312,2022-05-30 10:35:13+00:00,-666.0
313,2022-05-30 10:35:14+00:00,7.51
314,2022-05-30 10:35:15+00:00,7.51
315,2022-05-30 10:35:16+00:00,-666.0
316,2022-05-30 10:35:17+00:00,7.51
317,2022-05-30 10:35:18+00:00,-666.0
318,2022-05-30 10:35:19+00:00,7.59
319,2022-05-30 10:35:20+00:00,-666.0
320,2022-05-30 10:35:21+00:00,-666.0
321,2022-05-30 10:35:22+00:00,7.59
322,2022-05-30 10:35:23+00:00,7.67
323,2022-05-30 10:35:24+00:00,-666.0
324,2022-05-30 10:35:25+00:00,7.67
325,2022-05-30 10:35:26+00:00,7.67
326,2022-05-30 10:35:27+00:00,-666.0
327,2022-05-30 10:35:28+00:00,7.76
328,2022-05-30 10:35:29+00:00,7.76
329,2022-05-30 10:35:30+00:00,-666.0
330,2022-05-30 10:35:31+00:00,7.76
331,2022-05-30 10:35:32+00:00,-666.0
332,2022-05-30 10:35:33+00:00,7.87
333,2022-05-30 10:35:34+00:00,7.87
334,2022-05-30 10:35:35+00:00,-666.0
335,2022-05-30 10:35:36+00:00,7.98
336,2022-05-30 10:35:37+00:00,7.98
337,2022-05-30 10:35:38+00:00,-666.0
338,2022-05-30 10:35:39+00:00,8.49
339,2022-05-30 10:35:40+00:00,-666.0
340,2022-05-30 10:35:41+00:00,8.49
341,2022-05-30 10:35:42+00:00,8.49
342,2022-05-30 10:35:43+00:00,-666.0
343,2022-05-30 10:35:44+00:00,12.5
344,2022-05-30 10:35:45+00:00,12.5
345,2022-05-30 10:35:46+00:00,-666.0
346,2022-05-30 10:35:47+00:00,15.66
347,2022-05-30 10:35:48+00:00,-666.0
348,2022-05-30 10:35:49+00:00,15.66
349,2022-05-30 10:35:50+00:00,19.66
350,2022-05-30 10:35:51+00:00,-666.0
351,2022-05-30 10:35:52+00:00,19.66
352,2022-05-30 10:35:53+00:00,19.66
353,2022-05-30 10:35:54+00:00,-666.0
354,2022-05-30 10:35:55+00:00,22.87
355,2022-05-30 10:35:56+00:00,-666.0
356,2022-05-30 10:35:57+00:00,22.87
357,2022-05-30 10:35:58+00:00,22.87
358,2022-05-30 10:35:59+00:00,-666.0
359,2022-05-30 10:36:00+00:00,25.02
360,2022-05-30 10:36:01+00:00,25.02
361,2022-05-30 10:36:02+00:00,-666.0
362,2022-05-30 10:36:03+00:00,25.82
363,2022-05-30 10:36:04+00:00,25.82
364,2022-05-30 10:36:05+00:00,-666.0
365,2022-05-30 10:36:06+00:00,26.04
366,2022-05-30 10:36:07+00:00,26.04
367,2022-05-30 10:36:08+00:00,-666.0
368,2022-05-30 10:36:09+00:00,26.04
369,2022-05-30 10:36:10+00:00,25.48
370,2022-05-30 10:36:11+00:00,-666.0
371,2022-05-30 10:36:12+00:00,25.48
372,2022-05-30 10:36:13+00:00,24.01
373,2022-05-30 10:36:14+00:00,-666.0
374,2022-05-30 10:36:15+00:00,24.01
375,2022-05-30 10:36:16+00:00,-666.0
376,2022-05-30 10:36:17+00:00,24.01
377,2022-05-30 10:36:18+00:00,20.61
378,2022-05-30 10:36:19+00:00,-666.0
379,2022-05-30 10:36:20+00:00,20.61
380,2022-05-30 10:36:21+00:00,-666.0
381,2022-05-30 10:36:22+00:00,20.61
382,2022-05-30 10:36:23+00:00,16.8
383,2022-05-30 10:36:24+00:00,-666.0
384,2022-05-30 10:36:25+00:00,16.8
385,2022-05-30 10:36:26+00:00,-666.0
386,2022-05-30 10:36:27+00:00,13.88
387,2022-05-30 10:36:28+00:00,13.88
388,2022-05-30 10:36:29+00:00,-666.0
389,2022-05-30 10:36:30+00:00,-666.0
390,2022-05-30 10:36:31+00:00,13.88
391,2022-05-30 10:36:32+00:00,11.29
392,2022-05-30 10:36:33+00:00,-666.0
393,2022-05-30 10:36:34+00:00,11.29
394,2022-05-30 10:36:35+00:00,9.84
395,2022-05-30 10:36:36+00:00,-666.0
396,2022-05-30 10:36:37+00:00,9.84
397,2022-05-30 10:36:38+00:00,9.84
398,2022-05-30 10:36:39+00:00,-666.0
399,2022-05-30 10:36:40+00:00,8.75
400,2022-05-30 10:36:41+00:00,8.75
401,2022-05-30 10:36:42+00:00,-666.0
402,2022-05-30 10:36:43+00:00,8.19
403,2022-05-30 10:36:44+00:00,-666.0
404,2022-05-30 10:36:45+00:00,8.19
405,2022-05-30 10:36:46+00:00,8.19
406,2022-05-30 10:36:47+00:00,-666.0
407,2022-05-30 10:36:48+00:00,7.68
408,2022-05-30 10:36:49+00:00,7.58
409,2022-05-30 10:36:50+00:00,-666.0
410,2022-05-30 10:36:51+00:00,7.58
411,2022-05-30 10:36:52+00:00,7.45
412,2022-05-30 10:36:53+00:00,-666.0
413,2022-05-30 10:36:54+00:00,7.45
414,2022-05-30 10:36:55+00:00,7.45
415,2022-05-30 10:36:56+00:00,-666.0
416,2022-05-30 10:36:57+00:00,7.4
417,2022-05-30 10:36:58+00:00,-666.0
418,2022-05-30 10:36:59+00:00,7.4
419,2022-05-30 10:37:00+00:00,7.39
420,2022-05-30 10:37:01+00:00,-666.0
421,2022-05-30 10:37:02+00:00,7.39
422,2022-05-30 10:37:03+00:00,-666.0
423,2022-05-30 10:37:04+00:00,7.41
424,2022-05-30 10:37:05+00:00,7.41
425,2022-05-30 10:37:06+00:00,-666.0
426,2022-05-30 10:37:07+00:00,7.46
427,2022-05-30 10:37:08+00:00,7.46
428,2022-05-30 10:37:09+00:00,-666.0
429,2022-05-30 10:37:10+00:00,7.46
430,2022-05-30 10:37:11+00:00,7.53
431,2022-05-30 10:37:12+00:00,-666.0
432,2022-05-30 10:37:13+00:00,7.53
433,2022-05-30 10:37:14+00:00,-666.0
434,2022-05-30 10:37:15+00:00,7.6
435,2022-05-30 10:37:16+00:00,7.6
436,2022-05-30 10:37:17+00:00,-666.0
437,2022-05-30 10:37:18+00:00,7.6
438,2022-05-30 10:37:19+00:00,7.6
439,2022-05-30 10:37:20+00:00,-666.0
440,2022-05-30 10:37:21+00:00,7.71
441,2022-05-30 10:37:22+00:00,7.76
442,2022-05-30 10:37:23+00:00,-666.0
443,2022-05-30 10:37:24+00:00,7.76
444,2022-05-30 10:37:25+00:00,7.76
445,2022-05-30 10:37:26+00:00,-666.0
446,2022-05-30 10:37:27+00:00,7.85
447,2022-05-30 10:37:28+00:00,7.85
448,2022-05-30 10:37:29+00:00,-666.0
449,2022-05-30 10:37:30+00:00,7.94
450,2022-05-30 10:37:31+00:00,-666.0
451,2022-05-30 10:37:32+00:00,7.94
452,2022-05-30 10:37:33+00:00,-666.0
453,2022-05-30 10:37:34+00:00,7.94
454,2022-05-30 10:37:35+00:00,8.02
455,2022-05-30 10:37:36+00:00,-666.0
456,2022-05-30 10:37:37+00:00,8.02
457,2022-05-30 10:37:38+00:00,8.02
458,2022-05-30 10:37:39+00:00,-666.0
459,2022-05-30 10:37:40+00:00,8.08
460,2022-05-30 10:37:41+00:00,-666.0
461,2022-05-30 10:37:42+00:00,8.08
462,2022-05-30 10:37:43+00:00,8.11
463,2022-05-30 10:37:44+00:00,-666.0
464,2022-05-30 10:37:45+00:00,8.11
465,2022-05-30 10:37:46+00:00,8.15
466,2022-05-30 10:37:47+00:00,-666.0
467,2022-05-30 10:37:48+00:00,8.15
468,2022-05-30 10:37:49+00:00,-666.0
469,2022-05-30 10:37:50+00:00,8.15
470,2022-05-30 10:37:51+00:00,8.98
471,2022-05-30 10:37:52+00:00,-666.0
472,2022-05-30 10:37:53+00:00,8.98
473,2022-05-30 10:37:54+00:00,8.98
474,2022-05-30 10:37:55+00:00,-666.0
475,2022-05-30 10:37:56+00:00,12.8
476,2022-05-30 10:37:57+00:00,12.8
477,2022-05-30 10:37:58+00:00,-666.0
478,2022-05-30 10:37:59+00:00,16.46
479,2022-05-30 10:38:00+00:00,16.46
480,2022-05-30 10:38:01+00:00,-666.0
481,2022-05-30 10:38:02+00:00,16.46
482,2022-05-30 10:38:03+00:00,-666.0
483,2022-05-30 10:38:04+00:00,20.71
484,2022-05-30 10:38:05+00:00,20.71
485,2022-05-30 10:38:06+00:00,-666.0
486,2022-05-30 10:38:07+00:00,23.09
487,2022-05-30 10:38:08+00:00,23.09
488,2022-05-30 10:38:09+00:00,-666.0
489,2022-05-30 10:38:10+00:00,23.09
490,2022-05-30 10:38:11+00:00,-666.0
491,2022-05-30 10:38:12+00:00,24.75
492,2022-05-30 10:38:13+00:00,24.75
